level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
1491,80,0,0,0,0,0,0,0,0,0,0
1426,14,0,0,0,0,0,0,0,0,0,0
732,82,0,0,0,0,0,0,0,0,0,0
1725,50,0,0,0,0,0,0,0,0,0,0
1510,66,0,0,0,0,0,0,0,0,0,0
1456,39,0,0,0,0,0,0,0,0,0,0
354,84,0,0,0,0,0,0,0,0,0,0
690,66,0,0,0,0,0,0,0,0,0,0
1358,84,0,0,0,0,0,0,0,0,0,0
747,84,0,0,0,0,0,0,0,0,0,0
747,55,0,0,0,0,0,0,0,0,0,0
1348,15,0,0,0,0,0,0,0,0,0,0
1672,80,0,0,0,0,0,0,0,0,0,0
1672,66,0,0,0,0,0,0,0,0,0,0
963,8,0,0,0,0,0,0,0,0,0,0
963,60,0,0,0,0,0,0,0,0,0,0
1672,64,0,0,0,0,0,0,0,0,0,0
7,51,0,0,0,0,0,0,0,0,0,0
1348,50,0,0,0,0,0,0,0,0,0,0
1024,60,0,0,0,0,0,0,0,0,0,0
253,77,0,0,0,0,0,0,0,0,0,0
1031,27,0,0,0,0,0,0,0,0,0,0
963,84,0,0,0,0,0,0,0,0,0,0
1426,14,0,0,0,0,0,0,0,0,0,0
354,80,0,0,0,0,0,0,0,0,0,0
747,19,0,0,0,0,0,0,0,0,0,0
354,59,0,0,0,0,0,0,0,0,0,0
1154,27,0,0,0,0,0,0,0,0,0,0
252,19,0,0,0,0,0,0,0,0,0,0
354,50,0,0,0,0,0,0,0,0,0,0
300,60,0,0,0,0,0,0,0,0,0,0
1031,60,0,0,0,0,0,0,0,0,0,0
1186,39,0,0,0,0,0,0,0,0,0,0
74,50,0,0,0,0,0,0,0,0,0,0
1456,64,0,0,0,0,0,0,0,0,0,0
690,12,0,0,0,0,0,0,0,0,0,0
654,19,0,0,0,0,0,0,0,0,0,0
1456,51,0,0,0,0,0,0,0,0,0,0
1046,39,0,0,0,0,0,0,0,0,0,0
1080,82,0,0,0,0,0,0,0,0,0,0
1456,19,0,0,0,0,0,0,0,0,0,0
757,15,0,0,0,0,0,0,0,0,0,0
1348,84,0,0,0,0,0,0,0,0,0,0
842,51,0,0,0,0,0,0,0,0,0,0
1186,55,0,0,0,0,0,0,0,0,0,0
1295,36,0,0,0,0,0,0,0,0,0,0
252,74,0,0,0,0,0,0,0,0,0,0
7,55,0,0,0,0,0,0,0,0,0,0
827,82,0,0,0,0,0,0,0,0,0,0
7,51,0,0,0,0,0,0,0,0,0,0
842,61,0,0,0,0,0,0,0,0,0,0
690,64,0,0,0,0,0,0,0,0,0,0
1358,14,0,0,0,0,0,0,0,0,0,0
1760,77,0,0,0,0,0,0,0,0,0,0
74,39,0,0,0,0,0,0,0,0,0,0
1186,36,0,0,0,0,0,0,0,0,0,0
1154,28,0,0,0,0,0,0,0,0,0,0
1491,80,0,0,0,0,0,0,0,0,0,0
74,82,0,0,0,0,0,0,0,0,0,0
1510,50,0,0,0,0,0,0,0,0,0,0
74,27,0,0,0,0,0,0,0,0,0,0
1046,19,0,0,0,0,0,0,0,0,0,0
747,64,0,0,0,0,0,0,0,0,0,0
