level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
1087,3,0,0,0,0,0,0,0,0,0,0
1057,32,0,0,0,0,0,0,0,0,0,0
326,32,0,0,0,0,0,0,0,0,0,0
384,57,0,0,0,0,0,0,0,0,0,0
300,6,0,0,0,0,0,0,0,0,0,0
826,58,0,0,0,0,0,0,0,0,0,0
1429,56,0,0,0,0,0,0,0,0,0,0
705,56,0,0,0,0,0,0,0,0,0,0
300,11,0,0,0,0,0,0,0,0,0,0
300,32,0,0,0,0,0,0,0,0,0,0
867,32,0,0,0,0,0,0,0,0,0,0
791,57,0,0,0,0,0,0,0,0,0,0
1,59,0,0,0,0,0,0,0,0,0,0
300,7,0,0,0,0,0,0,0,0,0,0
791,19,0,0,0,0,0,0,0,0,0,0
1592,56,0,0,0,0,0,0,0,0,0,0
1294,6,0,0,0,0,0,0,0,0,0,0
70,25,0,0,0,0,0,0,0,0,0,0
300,6,0,0,0,0,0,0,0,0,0,0
867,3,0,0,0,0,0,0,0,0,0,0
695,7,0,0,0,0,0,0,0,0,0,0
1529,25,0,0,0,0,0,0,0,0,0,0
1057,67,0,0,0,0,0,0,0,0,0,0
705,35,0,0,0,0,0,0,0,0,0,0
867,29,0,0,0,0,0,0,0,0,0,0
1529,56,0,0,0,0,0,0,0,0,0,0
326,29,0,0,0,0,0,0,0,0,0,0
867,11,0,0,0,0,0,0,0,0,0,0
1057,35,0,0,0,0,0,0,0,0,0,0
695,25,0,0,0,0,0,0,0,0,0,0
372,53,0,0,0,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0,0,0,0
1087,12,0,0,0,0,0,0,0,0,0,0
1057,57,0,0,0,0,0,0,0,0,0,0
1087,3,0,0,0,0,0,0,0,0,0,0
325,57,0,0,0,0,0,0,0,0,0,0
1057,11,0,0,0,0,0,0,0,0,0,0
695,11,0,0,0,0,0,0,0,0,0,0
1294,67,0,0,0,0,0,0,0,0,0,0
372,67,0,0,0,0,0,0,0,0,0,0
326,59,0,0,0,0,0,0,0,0,0,0
705,25,0,0,0,0,0,0,0,0,0,0
1633,56,0,0,0,0,0,0,0,0,0,0
70,32,0,0,0,0,0,0,0,0,0,0
70,56,0,0,0,0,0,0,0,0,0,0
325,35,0,0,0,0,0,0,0,0,0,0
1087,2,0,0,0,0,0,0,0,0,0,0
384,56,0,0,0,0,0,0,0,0,0,0
355,6,0,0,0,0,0,0,0,0,0,0
22,53,0,0,0,0,0,0,0,0,0,0
