level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
1723,31,0,0,0,0,0,0,0,0,0,0
1335,81,0,0,0,0,0,0,0,0,0,0
819,80,0,0,0,0,0,0,0,0,0,0
774,77,0,0,0,0,0,0,0,0,0,0
1208,38,0,0,0,0,0,0,0,0,0,0
1570,37,0,0,0,0,0,0,0,0,0,0
322,81,0,0,0,0,0,0,0,0,0,0
1446,43,0,0,0,0,0,0,0,0,0,0
774,3,0,0,0,0,0,0,0,0,0,0
1032,43,0,0,0,0,0,0,0,0,0,0
1224,19,0,0,0,0,0,0,0,0,0,0
969,21,0,0,0,0,0,0,0,0,0,0
796,38,0,0,0,0,0,0,0,0,0,0
1032,77,0,0,0,0,0,0,0,0,0,0
1445,16,0,0,0,0,0,0,0,0,0,0
248,13,0,0,0,0,0,0,0,0,0,0
904,38,0,0,0,0,0,0,0,0,0,0
535,13,0,0,0,0,0,0,0,0,0,0
217,31,0,0,0,0,0,0,0,0,0,0
995,39,0,0,0,0,0,0,0,0,0,0
1093,38,0,0,0,0,0,0,0,0,0,0
1224,22,0,0,0,0,0,0,0,0,0,0
1028,63,0,0,0,0,0,0,0,0,0,0
1028,37,0,0,0,0,0,0,0,0,0,0
322,54,0,0,0,0,0,0,0,0,0,0
1093,19,0,0,0,0,0,0,0,0,0,0
1561,80,0,0,0,0,0,0,0,0,0,0
1233,20,0,0,0,0,0,0,0,0,0,0
217,77,0,0,0,0,0,0,0,0,0,0
1093,57,0,0,0,0,0,0,0,0,0,0
1032,16,0,0,0,0,0,0,0,0,0,0
535,81,0,0,0,0,0,0,0,0,0,0
322,16,0,0,0,0,0,0,0,0,0,0
1561,85,0,0,0,0,0,0,0,0,0,0
1032,48,0,0,0,0,0,0,0,0,0,0
1446,13,0,0,0,0,0,0,0,0,0,0
1093,38,0,0,0,0,0,0,0,0,0,0
340,63,0,0,0,0,0,0,0,0,0,0
1446,77,0,0,0,0,0,0,0,0,0,0
1520,37,0,0,0,0,0,0,0,0,0,0
1208,63,0,0,0,0,0,0,0,0,0,0
805,21,0,0,0,0,0,0,0,0,0,0
904,16,0,0,0,0,0,0,0,0,0,0
819,37,0,0,0,0,0,0,0,0,0,0
747,39,0,0,0,0,0,0,0,0,0,0
1571,77,0,0,0,0,0,0,0,0,0,0
1233,38,0,0,0,0,0,0,0,0,0,0
