"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,2,2,0,0,0,2,4,4,5,0,8,0,01c189dcdc00b0dc170b82b6d19e19817c894a36
0,0,0,0,0,0,0,2,4,4,0,0,8,1,01c50544b2e1710e1ea84d4057ab5627e91067a0
0,0,1,1,0,0,0,0,0,0,0,7,7,9,01ca6288e65faee81ed55d92a67e8d9c41e74bff
0,0,0,0,0,0,0,0,0,0,0,3,1,1,01dafa50985b4928df8dd17b361d7ab20080029b
0,0,0,0,0,0,0,2,4,4,5,0,8,0,01daff9e9b17fef7e5e949a8a69e338f263cff19
0,0,1,1,0,0,0,2,0,0,0,3,1,1,01e1747af5667d8866a479bf67f1966c6f25ff88
0,0,0,0,0,0,0,2,4,4,5,0,8,0,01eb2587d0987b7d8f5781e22727cbe18db76989
0,0,0,0,0,0,0,0,0,0,0,3,1,1,01ebd14399ad5179aa90890a080c2e97d40828c1
0,0,0,0,0,0,0,0,0,0,0,3,1,1,01edeb6fb7eb1d6b78e7e707eaa07c7fc6785747
0,0,0,0,0,0,0,0,0,0,0,3,1,1,01fab38a0ced4845cecafc563baf42d72baa593e
1,1,1,1,0,0,0,0,0,0,6,7,7,1,01fb174861889612c19e321671695da1debc9d85
0,0,2,2,0,0,0,2,4,4,5,0,8,0,020593bdf5ef51bf5f0b2f613b709dd1ae1ff023
0,0,0,0,0,0,0,0,0,0,0,3,1,1,020c29f2183537fbe0c88cc3c7f020459d260ea3
0,0,0,0,0,0,0,2,4,4,5,0,8,0,020f802b0542fa0a5fa516d80a0803b5eefa1ec9
0,0,0,0,0,0,0,2,4,4,0,3,1,1,021334d39d5f3d5aad10a129235ef324c2e92d4c
0,0,0,0,0,0,0,2,4,4,0,3,1,1,021847e962073bc21ff895558c44d030bf1d8bf7
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0219b21289073253eb53d009745871caf84987c1
0,0,2,2,0,0,0,2,4,4,5,0,8,0,021a43a12624d8a69295cfcba3f7e4e704d9b101
0,0,1,1,0,0,0,0,0,0,0,3,1,1,021b2460e8df377171e4e9ca9995afe8b754265c
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0223bd6908534f1e68effec059923261ca9192c6
0,0,2,2,0,0,0,2,4,4,5,0,8,0,022ca2fc728aecec88ce05dc42362dbf2e193df5
0,0,1,1,0,0,0,0,0,0,0,3,1,1,022e5c426138740d66a639bd4047ad9db4989396
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02307ac0cab32e78f4163ba37084fab21ee5d713
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0235ba67793ebff6799c2d191dffb0ae4145a5ac
0,0,0,0,0,0,0,0,0,0,0,3,1,1,02363bf89f7ce2ac53e786e1b2ab048606c7426e
0,0,0,1,0,0,0,0,0,0,0,3,1,8,02388f7395e59293719a4f1020398a6eab7d41a9
1,1,1,1,0,0,0,0,0,0,6,7,7,9,02419e798df78a2017177d5650e88eb6ab6fef11
0,0,0,0,0,0,0,2,4,4,5,0,8,0,02437dbbc7689f27dc62cd9b7f3ee447390dcf0e
0,0,2,2,0,0,0,2,4,4,5,0,8,0,02454a8e0dc4199ad956e2f3f0558c59b8ff8e4f
0,0,2,2,0,0,0,2,4,4,5,0,8,0,024c414994a64bc8f659667b22394d57520ee82b
1,1,1,1,0,0,0,0,0,0,6,7,7,9,0250fbf56ee8430bb03636658d2267b37576632b
0,0,0,0,0,0,0,0,0,0,0,3,1,1,025137c325fd5cb4439817e019a0882f220d6b17
0,0,1,1,0,0,0,2,4,4,5,0,8,0,0251f7df102497b4d935ee7cf106d539e8e03af3
