level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
424,19,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
232,5,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
367,16,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
424,16,0,0,0,0,0,0,0,0,0
150,5,0,0,0,0,0,0,0,0,0
127,19,0,0,0,0,0,0,0,0,0
424,16,0,0,0,0,0,0,0,0,0
367,12,0,0,0,0,0,0,0,0,0
367,19,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
150,19,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
415,16,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
127,12,0,0,0,0,0,0,0,0,0
367,12,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
127,19,0,0,0,0,0,0,0,0,0
424,5,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
150,16,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
404,19,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
472,22,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
82,22,0,0,0,0,0,0,0,0,0
453,16,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
453,19,0,0,0,0,0,0,0,0,0
472,16,0,0,0,0,0,0,0,0,0
150,19,0,0,0,0,0,0,0,0,0
150,22,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
424,22,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
404,5,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
232,12,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
82,12,0,0,0,0,0,0,0,0,0
82,19,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
367,16,0,0,0,0,0,0,0,0,0
453,22,0,0,0,0,0,0,0,0,0
232,16,0,0,0,0,0,0,0,0,0
150,16,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
415,16,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
127,19,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
127,12,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
472,16,0,0,0,0,0,0,0,0,0
453,12,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
983,16,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
983,16,0,0,0,0,0,0,0,0,0
983,16,0,0,0,0,0,0,0,0,0
823,16,0,0,0,0,0,0,0,0,0
637,19,0,0,0,0,0,0,0,0,0
983,19,0,0,0,0,0,0,0,0,0
823,5,0,0,0,0,0,0,0,0,0
983,19,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
512,12,0,0,0,0,0,0,0,0,0
823,16,0,0,0,0,0,0,0,0,0
512,12,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
404,5,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
696,16,0,0,0,0,0,0,0,0,0
639,16,0,0,0,0,0,0,0,0,0
493,12,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
823,16,0,0,0,0,0,0,0,0,0
696,19,0,0,0,0,0,0,0,0,0
670,16,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0
637,16,0,0,0,0,0,0,0,0,0
637,19,0,0,0,0,0,0,0,0,0
639,16,0,0,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
558,12,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
919,19,0,0,0,0,0,0,0,0,0
823,16,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
823,12,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
823,12,0,0,0,0,0,0,0,0,0
670,0,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
983,19,0,0,0,0,0,0,0,0,0
696,5,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
823,12,0,0,0,0,0,0,0,0,0
919,19,0,0,0,0,0,0,0,0,0
823,12,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0
670,19,0,0,0,0,0,0,0,0,0
662,5,0,0,0,0,0,0,0,0,0
639,5,0,0,0,0,0,0,0,0,0
696,16,0,0,0,0,0,0,0,0,0
823,0,0,0,0,0,0,0,0,0,0
919,16,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
823,5,0,0,0,0,0,0,0,0,0
823,5,0,0,0,0,0,0,0,0,0
670,16,0,0,0,0,0,0,0,0,0
558,12,0,0,0,0,0,0,0,0,0
662,22,0,0,0,0,0,0,0,0,0
662,19,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0
512,5,0,0,0,0,0,0,0,0,0
823,19,0,0,0,0,0,0,0,0,0
696,16,0,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,0
655,12,0,0,0,0,0,0,0,0,0
639,5,0,0,0,0,0,0,0,0,0
639,12,0,0,0,0,0,0,0,0,0
823,12,0,0,0,0,0,0,0,0,0
639,16,0,0,0,0,0,0,0,0,0
493,16,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
823,12,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0
558,16,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
983,5,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
662,16,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
823,19,0,0,0,0,0,0,0,0,0
983,12,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
983,19,0,0,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0,0,0
983,5,0,0,0,0,0,0,0,0,0
